Positive	trapped wo n't score points for political correctness , but it may cause parents a few sleepless hours -- a sign of its effectiveness .
Negative	the screenplay , co-written by director imogen kimmel , lacks the wit necessary to fully exploit the comic elements of the premise , making the proceedings more bizarre than actually amusing .
Positive	happily stays close to the ground in a spare and simple manner and does n't pummel us with phony imagery or music .
Positive	henry bean 's thoughtful screenplay provides no easy answers , but offers a compelling investigation of faith versus intellect
Positive	road to perdition does display greatness , and it 's worth seeing .
Negative	ah-nuld 's action hero days might be over .
Positive	the moral shrapnel and mental shellshock will linger long after this film has ended .
Positive	this is a very ambitious project for a fairly inexperienced filmmaker , but good actors , good poetry and good music help sustain it .
Positive	i walked away from this new version of e.t. just as i hoped i would -- with moist eyes .
Positive	-lrb- leigh -rrb- has a true talent for drawing wrenching performances from his actors -lrb- improvised over many months -rrb- and for conveying the way tiny acts of kindness make ordinary life survivable .
Negative	then you get another phone call warning you that if the video is n't back at blockbuster before midnight , you 're going to face frightening late fees .
Positive	the kind of sweet-and-sour insider movie that film buffs will eat up like so much gelati .
Positive	yes , it 's as good as you remember .
Positive	as refreshing as a drink from a woodland stream .
Positive	credit director ramsay for taking the sometimes improbable story and making it feel realistic .
Negative	no. .
Positive	a movie in which laughter and self-exploitation merge into jolly soft-porn 'em powerment . '
Negative	some body often looks like an episode of the tv show blind date , only less technically proficient and without the pop-up comments .
Negative	after you laugh once -lrb- maybe twice -rrb- , you will have completely forgotten the movie by the time you get back to your car in the parking lot .
Positive	a tightly directed , highly professional film that 's old-fashioned in all the best possible ways .
Negative	one of the most unpleasant things the studio has ever produced .
Negative	a movie that 's about as overbearing and over-the-top as the family it depicts .
Positive	ong 's promising debut is a warm and well-told tale of one recent chinese immigrant 's experiences in new york city .
Negative	opera on film is never satisfactory .
Negative	with tiny little jokes and nary an original idea , this sappy ethnic sleeper proves that not only blockbusters pollute the summer movie pool .
Negative	one scene after another in this supposedly funny movie falls to the floor with a sickening thud .
Negative	crummy .
Negative	guy gets girl , guy loses girl , audience falls asleep .
Negative	two badly interlocked stories drowned by all too clever complexity .
Negative	full of the kind of obnoxious chitchat that only self-aware neurotics engage in .
Positive	rodriguez has the chops of a smart-aleck film school brat and the imagination of a big kid ...
Positive	allen 's funniest and most likeable movie in years .
Positive	a lively and engaging examination of how similar obsessions can dominate a family .
Negative	a portrait of alienation so perfect , it will certainly succeed in alienating most viewers .
Positive	elegantly produced and expressively performed , the six musical numbers crystallize key plot moments into minutely detailed wonders of dreamlike ecstasy .
Negative	a singularly off-putting romantic comedy .
Negative	uneven performances and a spotty script add up to a biting satire that has no teeth .
Negative	why sit through a crummy , wannabe-hip crime comedy that refers incessantly to old movies , when you could just rent those movies instead , let alone seek out a respectable new one ?
Positive	by its modest , straight-ahead standards , undisputed scores a direct hit .
Negative	... the kind of movie you see because the theater has air conditioning .
Positive	-lrb- p -rrb- artnering murphy with robert de niro for the tv-cops comedy showtime would seem to be surefire casting .
Positive	escapes the precious trappings of most romantic comedies , infusing into the story very real , complicated emotions .
Positive	interesting and thoroughly unfaithful version of carmen
Negative	lazy filmmaking , with the director taking a hands-off approach when he should have shaped the story to show us why it 's compelling .
Negative	taken as a whole , the tuxedo does n't add up to a whole lot .
Positive	return to never land is reliable , standard disney animated fare , with enough creative energy and wit to entertain all ages .
Negative	or maybe `` how will you feel after an 88-minute rip-off of the rock with action confined to slo-mo gun firing and random glass-shattering ? ''
Negative	i do n't blame eddie murphy but should n't owen wilson know a movie must have a story and a script ?
Negative	i found myself growing more and more frustrated and detached as vincent became more and more abhorrent .
Negative	the holes in this film remain agape -- holes punched through by an inconsistent , meandering , and sometimes dry plot .
Negative	it 's hard to imagine that even very small children will be impressed by this tired retread .
Positive	if you can swallow its absurdities and crudities lagaan really is enormously good fun .
Negative	for a film that 's being advertised as a comedy , sweet home alabama is n't as funny as you 'd hoped .
Positive	fun and nimble .
Negative	this is one of the biggest disappointments of the year .
Positive	these characters are so well established that the gang feels comfortable with taking insane liberties and doing the goofiest stuff out of left field , and i 'm all for that .
Positive	funny in a sick , twisted sort of way .
Positive	the story that emerges has elements of romance , tragedy and even silent-movie comedy .
Positive	a work of extraordinary journalism , but it is also a work of deft and subtle poetry .
Negative	one lousy movie .
Negative	it irritates and saddens me that martin lawrence 's latest vehicle can explode obnoxiously into 2,500 screens while something of bubba ho-tep 's clearly evident quality may end up languishing on a shelf somewhere .
Negative	it 's bedeviled by labored writing and slack direction .
Negative	bottom-rung new jack city wannabe .
Positive	a serious movie with serious ideas .
Positive	sayles has an eye for the ways people of different ethnicities talk to and about others outside the group .
Negative	the big-screen scooby makes the silly original cartoon seem smart and well-crafted in comparison .
Negative	looks and feels like a low-budget hybrid of scarface or carlito 's way .
Positive	godard has never made a more sheerly beautiful film than this unexpectedly moving meditation on love , history , memory , resistance and artistic transcendence .
Positive	cut through the layers of soap-opera emotion and you find a scathing portrayal of a powerful entity strangling the life out of the people who want to believe in it the most .
Negative	it jumps around with little logic or continuity , presenting backstage bytes of information that never amount to a satisfying complete picture of this particular , anciently demanding métier .
Negative	clare peploe 's airless movie adaptation could use a little american pie-like irreverence .
Negative	less than fresh .
Positive	oh , james !
Positive	a good thriller .
Negative	what 's really sad is to see two academy award winning actresses -lrb- and one academy award winning actor -rrb- succumb to appearing in this junk that 's tv sitcom material at best .
Positive	-lrb- the cockettes -rrb- provides a window into a subculture hell-bent on expressing itself in every way imaginable . '
Negative	pap invested in undergraduate doubling subtexts and ridiculous stabs at existentialism reminding of the discovery of the wizard of god in the fifth trek flick .
Negative	a negligible british comedy .
Positive	one of the funniest motion pictures of the year , but ... also one of the most curiously depressing .
Negative	collateral damage is trash , but it earns extra points by acting as if it were n't .
Negative	disjointed parody .
Positive	... a sweetly affecting story about four sisters who are coping , in one way or another , with life 's endgame .
Positive	-lrb- clooney 's -rrb- debut can be accused of being a bit undisciplined , but it has a tremendous , offbeat sense of style and humor that suggests he was influenced by some of the filmmakers who have directed him , especially the coen brothers and steven soderbergh .
Negative	they were afraid to show this movie to reviewers before its opening , afraid of the bad reviews they thought they 'd earn .
Negative	though jones and snipes are enthralling , the movie bogs down in rhetoric and cliché .
Positive	reminiscent of alfred hitchcock 's thrillers , most of the scary parts in ` signs ' occur while waiting for things to happen .
Negative	to get at the root psychology of this film would require many sessions on the couch of dr. freud .
Negative	the sheer dumbness of the plot -lrb- other than its one good idea -rrb- and the movie 's inescapable air of sleaziness get you down .
Positive	it has a way of seeping into your consciousness , with lingering questions about what the film is really getting at .
Negative	the town has kind of an authentic feel , but each one of these people stand out and everybody else is in the background and it just seems manufactured to me and artificial .
Negative	the film does n't have enough innovation or pizazz to attract teenagers , and it lacks the novel charm that made spy kids a surprising winner with both adults and younger audiences .
Negative	should have been worth cheering as a breakthrough but is devoid of wit and humor .
Positive	those with a modicum of patience will find in these characters ' foibles a timeless and unique perspective .
Negative	here , alas , it collapses like an overcooked soufflé .
Positive	although largely a heavy-handed indictment of parental failings and the indifference of spanish social workers and legal system towards child abuse , the film retains ambiguities that make it well worth watching .
Negative	nothing here seems as funny as it did in analyze this , not even joe viterelli as de niro 's right-hand goombah .
Negative	what happens when something goes bump in the night and nobody cares ?
Negative	often lingers just as long on the irrelevant as on the engaging , which gradually turns what time is it there ?
Negative	needs more impressionistic cinematography and exhilarating point-of-view shots and fewer slow-motion ` grandeur ' shots and quick-cut edits that often detract from the athleticism .
Negative	... there 's a choppy , surface-effect feeling to the whole enterprise .
Positive	peppering this urban study with references to norwegian folktales , villeneuve creates in maelstrom a world where the bizarre is credible and the real turns magical .
Negative	the 50-something lovebirds are too immature and unappealing to care about .
Positive	what 's most memorable about circuit is that it 's shot on digital video , whose tiny camera enables shafer to navigate spaces both large ... and small ... with considerable aplomb .
Negative	... plays like a badly edited , 91-minute trailer -lrb- and -rrb- the director ca n't seem to get a coherent rhythm going .
Negative	it aimlessly and unsuccessfully attempts to fuse at least three dull plots into one good one .
Positive	the film is a verbal duel between two gifted performers .
Positive	there is a welcome lack of pretension about the film , which very simply sets out to entertain and ends up delivering in good measure .
Positive	the best thing about the movie is its personable , amusing cast .
Positive	we 've seen the hippie-turned-yuppie plot before , but there 's an enthusiastic charm in fire that makes the formula fresh again .
Positive	sad to say -- it accurately reflects the rage and alienation that fuels the self-destructiveness of many young people .
Positive	this is a story that zings all the way through with originality , humour and pathos .
Negative	despite terrific special effects and funnier gags , harry potter and the chamber of secrets finds a way to make j.k. rowling 's marvelous series into a deadly bore .
Positive	conceptually brilliant ... plays like a living-room war of the worlds , gaining most of its unsettling force from the suggested and the unknown .
Negative	ultimately too repellent to fully endear itself to american art house audiences , but it is notable for its stylistic austerity and forcefulness .
Negative	one of those films that seems tailor made to air on pay cable to offer some modest amusements when one has nothing else to watch .
Negative	`` solaris '' is a shapeless inconsequential move relying on the viewer to do most of the work .
Positive	a cutesy romantic tale with a twist .
Negative	once again , director chris columbus takes a hat-in-hand approach to rowling that stifles creativity and allows the film to drag on for nearly three hours .
Negative	when you find yourself rooting for the monsters in a horror movie , you know the picture is in trouble .
Positive	takes a fresh and absorbing look at a figure whose legacy had begun to bronze .
Positive	a live-action cartoon , a fast-moving and cheerfully simplistic 88 minutes of exaggerated action put together with the preteen boy in mind .
Negative	for dance completists only .
Positive	the pleasure of read my lips is like seeing a series of perfect black pearls clicking together to form a string .
Negative	phoned-in business as usual .
Positive	a vibrant whirlwind of love , family and all that goes with it , my big fat greek wedding is a non-stop funny feast of warmth , colour and cringe .
Negative	jackson shamefully strolls through this mess with a smug grin , inexplicably wearing a kilt and carrying a bag of golf clubs over one shoulder .
Positive	a screenplay more ingeniously constructed than `` memento ''
Positive	an enjoyable above average summer diversion .
Positive	miller has crafted an intriguing story of maternal instincts and misguided acts of affection .
Negative	`` ... something appears to have been lost in the translation this time .
Negative	all comedy is subversive , but this unrelenting bleak insistence on opting out of any opportunity for finding meaning in relationships or work just becomes sad .
Negative	and diesel is n't the actor to save it .
Negative	and it 's a lousy one at that .
Positive	sweetly sexy , funny and touching .
Positive	though it lacks the utter authority of a genre gem , there 's a certain robustness to this engaging mix of love and bloodletting .
Positive	the film is a very good viewing alternative for young women .
Negative	the crassness of this reactionary thriller is matched only by the ridiculousness of its premise .
Negative	stripped almost entirely of such tools as nudity , profanity and violence , labute does manage to make a few points about modern man and his problematic quest for human connection .
Positive	morton deserves an oscar nomination .
Negative	movies like high crimes flog the dead horse of surprise as if it were an obligation .
Positive	diane lane works nothing short of a minor miracle in unfaithful .
Positive	the cast delivers without sham the raw-nerved story .
Negative	for this sort of thing to work , we need agile performers , but the proficient , dull sorvino has no light touch , and rodan is out of his league .
Positive	broomfield has a rather unique approach to documentary .
Negative	as the mediterranean sparkles , ` swept away ' sinks .
Positive	while the path may be familiar , first-time director denzel washington and a top-notch cast manage to keep things interesting .
Negative	that neither protagonist has a distinguishable condition hardly matters because both are just actory concoctions , defined by childlike dimness and a handful of quirks .
Positive	unexpected , and often contradictory , truths emerge .
Positive	howard conjures the past via surrealist flourishes so overwrought you 'd swear he just stepped out of a buñuel retrospective .
Positive	there is a certain sense of experimentation and improvisation to this film that may not always work , but it is nevertheless compelling .
Positive	intelligent , caustic take on a great writer and dubious human being .
Negative	it is that rare combination of bad writing , bad direction and bad acting -- the trifecta of badness .
Positive	shyamalan offers copious hints along the way -- myriad signs , if you will -- that beneath the familiar , funny surface is a far bigger , far more meaningful story than one in which little green men come to earth for harvesting purposes .
Positive	american musical comedy as we know it would n't exist without the precedent of yiddish theater , whose jolly , fun-for-fun 's - sake communal spirit goes to the essence of broadway .
Positive	sparse but oddly compelling .
Negative	these characters become wearisome .
Negative	anyone who suffers through this film deserves , at the very least , a big box of consolation candy .
Negative	there 's no disguising this as one of the worst films of the summer .
Negative	a distinctly minor effort that will be seen to better advantage on cable , especially considering its barely feature-length running time of one hour .
Positive	one of the funnier movies in town .
Positive	charlotte sometimes is a brilliant movie .
Positive	despite its flaws ... belinsky is still able to create an engaging story that keeps you guessing at almost every turn .
Positive	-lrb- washington 's -rrb- strong hand , keen eye , sweet spirit and good taste are reflected in almost every scene .
Negative	what should have been a painless time-killer becomes instead a grating endurance test .
Positive	essentially a collection of bits -- and they 're all naughty .
Positive	even better than the first one !
Positive	infidelity drama is nicely shot , well-edited and features a standout performance by diane lane .
Positive	woven together handsomely , recalling sixties ' rockumentary milestones from lonely boy to do n't look back .
Positive	caine makes us watch as his character awakens to the notion that to be human is eventually to have to choose .
Negative	a visionary marvel , but it 's lacking a depth in storytelling usually found in anime like this .
Positive	one of the best films i have ever seen , constantly pulling the rug from underneath us , seeing things from new sides , plunging deeper , getting more intense .
Positive	i like this movie a lot .
Negative	well-meant but unoriginal .
Positive	it may scream low budget , but this charmer has a spirit that can not be denied .
Negative	-lrb- stevens is -rrb- so stoked to make an important film about human infidelity and happenstance that he tosses a kitchen sink onto a story already overladen with plot conceits .
Positive	a reminder that beyond all the hype and recent digital glitz , spielberg knows how to tell us about people .
Positive	for all its brooding quality , ash wednesday is suspenseful and ultimately unpredictable , with a sterling ensemble cast .
Negative	appropriately cynical social commentary aside , # 9 never quite ignites .
Positive	what makes salton sea surprisingly engrossing is that caruso takes an atypically hypnotic approach to a world that 's often handled in fast-edit , hopped-up fashion .
Positive	it 's a film that 's destined to win a wide summer audience through word-of-mouth reviews and , not far down the line , to find a place among the studio 's animated classics .
Positive	still , the updated dickensian sensibility of writer craig bartlett 's story is appealing .
Negative	full frontal , which opens today nationwide , could almost be classified as a movie-industry satire , but it lacks the generous inclusiveness that is the genre 's definitive , if disingenuous , feature .
Positive	filled with alexandre desplat 's haunting and sublime music , the movie completely transfixes the audience .
Positive	the actresses find their own rhythm and protect each other from the script 's bad ideas and awkwardness .
Negative	take care is nicely performed by a quintet of actresses , but nonetheless it drags during its 112-minute length .
Positive	spirit is a visual treat , and it takes chances that are bold by studio standards , but it lacks a strong narrative .
Positive	the storylines are woven together skilfully , the magnificent swooping aerial shots are breathtaking , and the overall experience is awesome .
Negative	contrasting the original ringu with the current americanized adaptation is akin to comparing the evil dead with evil dead ii
Positive	it 's a setup so easy it borders on facile , but keeping the film from cheap-shot mediocrity is its crack cast .
Negative	most of the problems with the film do n't derive from the screenplay , but rather the mediocre performances by most of the actors involved
Positive	mostly , -lrb- goldbacher -rrb- just lets her complicated characters be unruly , confusing and , through it all , human .
Positive	promises is one film that 's truly deserving of its oscar nomination .
Negative	yet another arnold vehicle that fails to make adequate use of his particular talents .
Positive	one fantastic -lrb- and educational -rrb- documentary .
Negative	but it 's hard to imagine a more generic effort in the genre .
Positive	despite the surface attractions -- conrad l. hall 's cinematography will likely be nominated for an oscar next year -- there 's something impressive and yet lacking about everything .
Positive	this rich , bittersweet israeli documentary , about the life of song-and-dance-man pasach ` ke burstein and his family , transcends ethnic lines .
Negative	skip this dreck , rent animal house and go back to the source .
Negative	though clearly well-intentioned , this cross-cultural soap opera is painfully formulaic and stilted .
Positive	as giddy and whimsical and relevant today as it was 270 years ago .
Negative	this film is too busy hitting all of its assigned marks to take on any life of its own .
Positive	this is a visually stunning rumination on love , memory , history and the war between art and commerce .
Negative	yet it 's not quite the genre-busting film it 's been hyped to be because it plays everything too safe .
Positive	the film is delicately narrated by martin landau and directed with sensitivity and skill by dana janklowicz-mann .
Positive	this is one of those rare docs that paints a grand picture of an era and makes the journey feel like a party .
Positive	if a big musical number like ` praise the lord , he 's the god of second chances ' does n't put you off , this will be an enjoyable choice for younger kids .
Positive	as animation increasingly emphasizes the computer and the cool , this is a film that takes a stand in favor of tradition and warmth .
Negative	this flat run at a hip-hop tootsie is so poorly paced you could fit all of pootie tang in between its punchlines .
Positive	the film boasts dry humor and jarring shocks , plus moments of breathtaking mystery .
Negative	ever see one of those comedies that just seem like a bad idea from frame one ?
Positive	it is scott 's convincing portrayal of roger the sad cad that really gives the film its oomph .
Positive	gooding is the energetic frontman , and it 's hard to resist his enthusiasm , even if the filmmakers come up with nothing original in the way of slapstick sequences .
Negative	while the film is competent , it 's also uninspired , lacking the real talent and wit to elevate it beyond its formula to the level of classic romantic comedy to which it aspires .
Negative	the title , alone , should scare any sane person away .
Negative	banal and predictable .
Negative	plays like an unbalanced mixture of graphic combat footage and almost saccharine domestic interludes that are pure hollywood .
Positive	russian ark is a new treasure of the hermitage .
Negative	i 've had more interesting -- and , dare i say , thematically complex -- bowel movements than this long-on-the-shelf , point-and-shoot exercise in gimmicky crime drama .
Negative	i have n't seen such self-amused trash since freddy got fingered .
Negative	ultimately , in the history of the academy , people may be wondering what all that jazz was about `` chicago '' in 2002 .
Negative	its and pieces of the hot chick are so hilarious , and schneider 's performance is so fine , it 's a real shame that so much of the movie -- again , as in the animal -- is a slapdash mess .
Negative	a half-assed film .
Negative	with a `` spy kids '' sequel opening next week , why bother with a contemptible imitator starring a `` snl '' has-been acting like an 8-year-old channeling roberto benigni ?
Negative	weirdly , broomfield has compelling new material but he does n't unveil it until the end , after endless scenes of him wheedling reluctant witnesses and pointing his camera through the smeared windshield of his rental car .
Positive	first and foremost ... the reason to go see `` blue crush '' is the phenomenal , water-born cinematography by david hennings .
Negative	this rather unfocused , all-over-the-map movie would be a lot better if it pared down its plots and characters to a few rather than dozens ... or if it were subtler ... or if it had a sense of humor .
Positive	admirers of director abel ferrara may be relieved that his latest feature , r xmas , marks a modest if encouraging return to form .
Negative	one thing 's for sure -- if george romero had directed this movie , it would n't have taken the protagonists a full hour to determine that in order to kill a zombie you must shoot it in the head .
Negative	-lrb- siegel -rrb- and co-writers lisa bazadona and grace woodard have relied too much on convention in creating the characters who surround frankie .
Positive	producer john penotti surveyed high school students ... and came back with the astonishing revelation that `` they wanted to see something that did n't talk down to them . ''
Negative	there 's no palpable chemistry between lopez and male lead ralph fiennes , plus the script by working girl scribe kevin wade is workmanlike in the extreme .
Positive	it does n't reach them , but the effort is gratefully received .
Positive	watching the powerpuff girls movie , my mind kept returning to one anecdote for comparison : the cartoon in japan that gave people seizures .
Negative	that such a horrible movie could have sprung from such a great one is one of the year 's worst cinematic tragedies .
Negative	it 's so crammed with scenes and vistas and pretty moments that it 's left a few crucial things out , like character development and coherence .
Negative	just about everyone involved here seems to be coasting .
Positive	for his first attempt at film noir , spielberg presents a fascinating but flawed look at the near future .
Negative	a grating , emaciated flick .
Negative	the nonstop artifice ultimately proves tiresome , with the surface histrionics failing to compensate for the paper-thin characterizations and facile situations .
Positive	insomnia is one of the year 's best films and pacino gives one of his most daring , and complicated , performances .
Negative	a less-than-thrilling thriller .
Positive	god bless crudup and his aversion to taking the easy hollywood road and cashing in on his movie-star gorgeousness .
Positive	delightfully rendered
Positive	this breezy caper movie becomes a soulful , incisive meditation on the way we were , and the way we are .
Positive	got some good , organic character work , lots of obvious political insights and little room for engaging , imaginative filmmaking in its nearly 2 1\/2 - hour , dissipated length .
Negative	it 's tommy 's job to clean the peep booths surrounding her , and after viewing this one , you 'll feel like mopping up , too .
Negative	an average b-movie with no aspirations to be anything more .
Positive	a dazzling thing to behold -- as long as you 're wearing the somewhat cumbersome 3d goggles the theater provides .
Negative	an inelegant combination of two unrelated shorts that falls far short of the director 's previous work in terms of both thematic content and narrative strength .
Positive	remember it .
Positive	... spiced with humor -lrb- ' i speak fluent flatula , ' advises denlopp after a rather , er , bubbly exchange with an alien deckhand -rrb- and witty updatings -lrb- silver 's parrot has been replaced with morph , a cute alien creature who mimics everyone and everything around -rrb-
Negative	there 's no energy .
Positive	a raunchy and frequently hilarious follow-up to the gifted korean american stand-up 's i 'm the one that i want .
Negative	barney 's ideas about creation and identity do n't really seem all that profound , at least by way of what can be gleaned from this three-hour endurance test built around an hour 's worth of actual material .
Negative	we do get the distinct impression that this franchise is drawing to a close .
Positive	surprisingly insightful
Positive	the powder blues and sun-splashed whites of tunis make an alluring backdrop for this sensuous and spirited tale of a prim widow who finds an unlikely release in belly-dancing clubs .
Positive	the movie should jolt you out of your seat a couple of times , give you a few laughs , and leave you feeling like it was worth your seven bucks , even though it does turn out to be a bit of a cheat in the end .
Negative	the country bears wastes an exceptionally good idea .
Positive	the saigon of 1952 is an uneasy mix of sensual delights and simmering violence , and the quiet american brings us right into the center of that world .
Negative	deadly dull , pointless meditation on losers in a gone-to-seed hotel .
Positive	a coming-of-age film that avoids the cartoonish clichés and sneering humor of the genre as it provides a fresh view of an old type -- the uncertain girl on the brink of womanhood .
Positive	a sexy , peculiar and always entertaining costume drama set in renaissance spain , and the fact that it 's based on true events somehow makes it all the more compelling .
Positive	i stopped thinking about how good it all was , and started doing nothing but reacting to it - feeling a part of its grand locations , thinking urgently as the protagonists struggled , feeling at the mercy of its inventiveness , gasping at its visual delights .
Negative	despite engaging offbeat touches , knockaround guys rarely seems interested in kicking around a raison d'etre that 's as fresh-faced as its young-guns cast .
Positive	nolan proves that he can cross swords with the best of them and helm a more traditionally plotted popcorn thriller while surrendering little of his intellectual rigor or creative composure .
Negative	nothing about this movie works .
Negative	an inexperienced director , mehta has much to learn .
Positive	ferrara 's best film in years .
Negative	it 's a frankenstein-monster of a film that does n't know what it wants to be .
Positive	it never quite makes it to the boiling point , but manages to sustain a good simmer for most of its running time .
Negative	when not wallowing in its characters ' frustrations , the movie is busy contriving false , sitcom-worthy solutions to their problems .
Negative	even if you 're an elvis person , you wo n't find anything to get excited about on this dvd .
Negative	a sloppy slapstick throwback to long gone bottom-of-the-bill fare like the ghost and mr. chicken .
Negative	whether it 's the worst movie of 2002 , i ca n't say for sure : memories of rollerball have faded , and i skipped country bears .
Negative	a little too ponderous to work as shallow entertainment , not remotely incisive enough to qualify as drama , monsoon wedding serves mostly to whet one 's appetite for the bollywood films .
Positive	the difference between cho and most comics is that her confidence in her material is merited .
Positive	the pianist is polanski 's best film .
Negative	the mantra behind the project seems to have been ` it 's just a kids ' flick . '
Negative	heavy with flabby rolls of typical toback machinations .
Positive	mr. polanski is in his element here : alone , abandoned , but still consoled by his art , which is more than he has ever revealed before about the source of his spiritual survival .
Positive	what redeems the film is the cast , particularly the ya-yas themselves .
Positive	it is also a testament to the integrity and vision of the band .
Positive	it is as uncompromising as it is nonjudgmental , and makes clear that a prostitute can be as lonely and needy as any of the clients .
Negative	i hate the feeling of having been slimed in the name of high art .
Negative	does n't do more than expand a tv show to movie length .
Positive	it has that rare quality of being able to creep the living hell out of you ...
Positive	remove spider-man the movie from its red herring surroundings and it 's apparent that this is one summer film that satisfies .
Positive	land , people and narrative flow together in a stark portrait of motherhood deferred and desire explored .
Positive	this kind of hands-on storytelling is ultimately what makes shanghai ghetto move beyond a good , dry , reliable textbook and what allows it to rank with its worthy predecessors .
Positive	the film oozes craft .
Positive	a spiffy animated feature about an unruly adolescent boy who is yearning for adventure and a chance to prove his worth .
Positive	the film , while not exactly assured in its execution , is notable for its sheer audacity and openness .
Positive	it 's far from a frothy piece , and the characters are complex , laden with plenty of baggage and tinged with tragic undertones .
Positive	the quirky drama touches the heart and the funnybone thanks to the energetic and always surprising performance by rachel griffiths .
Negative	by no means a slam-dunk and sure to ultimately disappoint the action fans who will be moved to the edge of their seats by the dynamic first act , it still comes off as a touching , transcendent love story .
Negative	adam sandler 's eight crazy nights grows on you -- like a rash .
Negative	i walked away not really know who `` they '' were , what `` they '' looked like .
Positive	sly , sophisticated and surprising .
Positive	scott delivers a terrific performance in this fascinating portrait of a modern lothario .
